condition,method,seed,score,eta,beta,rank
ordered,full_query_trace,30010,0.14858533442020416,0.02,10.0,4
ordered,full_query_trace,30011,0.16439302265644073,0.02,10.0,4
ordered,full_query_trace,30012,0.17844489216804504,0.02,10.0,4
ordered,full_query_trace,30013,0.15574248135089874,0.02,10.0,4
ordered,full_query_trace,30014,0.17135834693908691,0.02,10.0,4
ordered,full_query_trace,30015,0.159338116645813,0.02,10.0,4
ordered,full_query_trace,30016,0.18077991902828217,0.02,10.0,4
shuffled,plain,30001,0.16208314895629883,0.1,0.0,4
shuffled,plain,30002,0.15218506753444672,0.1,0.0,4
shuffled,plain,30003,0.16164229810237885,0.1,0.0,4
shuffled,plain,30004,0.20849914848804474,0.1,0.0,4
shuffled,plain,30005,0.17694120109081268,0.1,0.0,4
shuffled,plain,30006,0.18030884861946106,0.1,0.0,4
shuffled,plain,30007,0.18658138811588287,0.1,0.0,4
shuffled,plain,30008,0.18181249499320984,0.1,0.0,4
shuffled,plain,30009,0.15491902828216553,0.1,0.0,4
shuffled,plain,30010,0.14972932636737823,0.1,0.0,4
shuffled,plain,30011,0.16761378943920135,0.1,0.0,4
shuffled,plain,30012,0.1840304583311081,0.1,0.0,4
shuffled,plain,30013,0.16118650138378143,0.1,0.0,4
shuffled,plain,30014,0.17615291476249695,0.1,0.0,4
shuffled,plain,30015,0.1619701236486435,0.1,0.0,4
shuffled,plain,30016,0.18458466231822968,0.1,0.0,4
shuffled,write_trace,30001,0.15913088619709015,0.05,3.0,2
shuffled,write_trace,30002,0.14857687056064606,0.05,3.0,2
shuffled,write_trace,30003,0.15752971172332764,0.05,3.0,2
shuffled,write_trace,30004,0.20629927515983582,0.05,3.0,2
shuffled,write_trace,30005,0.17171749472618103,0.05,3.0,2
shuffled,write_trace,30006,0.18005968630313873,0.05,3.0,2
shuffled,write_trace,30007,0.1852354258298874,0.05,3.0,2
shuffled,write_trace,30008,0.1796993762254715,0.05,3.0,2
shuffled,write_trace,30009,0.15557430684566498,0.05,3.0,2
shuffled,write_trace,30010,0.14711272716522217,0.05,3.0,2
shuffled,write_trace,30011,0.1668296903371811,0.05,3.0,2
shuffled,write_trace,30012,0.18127496540546417,0.05,3.0,2
shuffled,write_trace,30013,0.157383993268013,0.05,3.0,2
shuffled,write_trace,30014,0.17363379895687103,0.05,3.0,2
shuffled,write_trace,30015,0.16116321086883545,0.05,3.0,2
shuffled,write_trace,30016,0.18530064821243286,0.05,3.0,2
shuffled,dqd,30001,0.15767747163772583,0.02,10.0,1
shuffled,dqd,30002,0.1461089849472046,0.02,10.0,1
shuffled,dqd,30003,0.15921570360660553,0.02,10.0,1
shuffled,dqd,30004,0.20093557238578796,0.02,10.0,1
shuffled,dqd,30005,0.168988436460495,0.02,10.0,1
shuffled,dqd,30006,0.1761355996131897,0.02,10.0,1
shuffled,dqd,30007,0.18174979090690613,0.02,10.0,1
shuffled,dqd,30008,0.17721757292747498,0.02,10.0,1
shuffled,dqd,30009,0.1516249030828476,0.02,10.0,1
shuffled,dqd,30010,0.14904935657978058,0.02,10.0,1
shuffled,dqd,30011,0.16503676772117615,0.02,10.0,1
shuffled,dqd,30012,0.1789306104183197,0.02,10.0,1
shuffled,dqd,30013,0.15586908161640167,0.02,10.0,1
shuffled,dqd,30014,0.17221365869045258,0.02,10.0,1
shuffled,dqd,30015,0.15961715579032898,0.02,10.0,1
shuffled,dqd,30016,0.18220368027687073,0.02,10.0,1
shuffled,full_query_trace,30001,0.1576719880104065,0.02,10.0,4
shuffled,full_query_trace,30002,0.14606189727783203,0.02,10.0,4
shuffled,full_query_trace,30003,0.15766195952892303,0.02,10.0,4
shuffled,full_query_trace,30004,0.20149612426757812,0.02,10.0,4
shuffled,full_query_trace,30005,0.1695527732372284,0.02,10.0,4
shuffled,full_query_trace,30006,0.1759183555841446,0.02,10.0,4
shuffled,full_query_trace,30007,0.1815212517976761,0.02,10.0,4
shuffled,full_query_trace,30008,0.17729592323303223,0.02,10.0,4
shuffled,full_query_trace,30009,0.1516943722963333,0.02,10.0,4
shuffled,full_query_trace,30010,0.14870423078536987,0.02,10.0,4
shuffled,full_query_trace,30011,0.16445893049240112,0.02,10.0,4
shuffled,full_query_trace,30012,0.1784278005361557,0.02,10.0,4
shuffled,full_query_trace,30013,0.15571968257427216,0.02,10.0,4
shuffled,full_query_trace,30014,0.17137937247753143,0.02,10.0,4
shuffled,full_query_trace,30015,0.15922309458255768,0.02,10.0,4
shuffled,full_query_trace,30016,0.1810944527387619,0.02,10.0,4
